Position,Location,Gender,Education,Experience (Years),Salary
Research Analyst,Bengaluru,Male,B.Tech/B.E.,17,2461.466
Python with react,Pune,Female,B.Tech/B.E.,14,1367.861
ServiceNow,Pune,Male,B.Sc,18,1676.369
ServiceNow,Mumbai,Male,Diploma,7,2383.087
ServiceNow,Mumbai,Female,B.Tech/B.E.,7,777.815
Python with react,New Delhi,Female,B.Tech/B.E.,24,1200.537
Python with react,Noida,Male,BCA,23,1516.16
Python with react,Ahemdabad - Gujarat,Female,B.Tech/B.E.,7,877.748
Python with react,Noida,Male,B.Tech/B.E.,16,1598.66
ServiceNow,Noida,Female,BCA,19,1850.688
Python with react,Bengaluru,Male,B.A,22,1300.104
ServiceNow,Lucknow,Male,B.Com,21,1976.721
ServiceNow,Mumbai,Male,B.Tech/B.E.,22,682.016
MUREX,Noida,Female,BCA,19,1040.106
Research Analyst,Ghaziabad,Female,BCA,27,2083.737
Research Analyst,Pune,Female,B.Tech/B.E.,28,568.201
Advance Maths Teacher,Navi Mumbai,Male,Diploma,21,1571.619
ServiceNow,Noida,Female,B.Com,12,950.157
MUREX,Pune,Male,Diploma,24,1935.459
Python with react,Nagpur,Female,BCA,26,1614.754
Python with react,Hyderabad,Male,B.Tech/B.E.,21,1130.511
ServiceNow,Noida,Female,BCA,22,838.507
Python with react,Chennai,Male,B.Sc,11,1148.439
Python with react,New Delhi,Male,B.Tech/B.E.,18,1463.611
Python with react,Visakhapatnam,Female,B.Sc,21,2451.631
Research Analyst,Bengaluru,Female,B.Com,11,1006.114
Research Analyst,Bengaluru,Female,B.Tech/B.E.,15,1462.962
Research Analyst,Hyderabad,Male,B.Tech/B.E.,27,2464.651
Research Analyst,Noida,Female,B.A,15,2433.041
Research Analyst,Gurugram,Male,B.Sc,15,2251.542
ServiceNow,"Fazilka , Punjab - Punjab",Male,BCA,24,1566.012
Python with react,Coimbatore,Female,B.Com,25,672.324
ServiceNow,Indore,Male,B.Tech/B.E.,11,647.664
Research Analyst,Hyderabad,Male,B.Com,18,1574.208
Research Analyst,Noida,Male,Diploma,24,1329.584
MUREX,"Cuttack, Odisha - Odisha",Male,BCA,8,2499.733
Python with react,New Delhi,Female,B.Tech/B.E.,27,1154.487
Research Analyst,Hyderabad,Male,B.A,14,1176.649
ServiceNow,Kanpur,Male,B.A,14,1633.684
MUREX,Navi Mumbai,Male,B.A,20,2397.591
Python with react,Bhubaneswar,Male,B.Tech/B.E.,14,1654.573
Python with react,New Delhi,Female,BCA,19,1735.28
ServiceNow,Pune,Female,B.Sc,5,1496.899
Python with react,Chennai,Male,B.Tech/B.E.,17,1696.465
Python with react,Ayodhya - Uttar Pradesh,Female,BCA,9,1255.879
MUREX,Hyderabad,Male,B.Com,6,2347.772
Research Analyst,Hubli,Female,B.Com,23,2427.921
Python with react,Gurugram,Female,B.Tech/B.E.,22,533.839
Research Analyst,Mumbai,Female,B.Tech/B.E.,16,2056.926
ServiceNow,Bengaluru,Male,B.Com,16,1028.463
Research Analyst,Patna,Male,B.B.A/ B.M.S,28,2210.436
Research Analyst,Pune,Male,BCA,24,1689.426
ServiceNow,Pune,Male,B.Tech/B.E.,18,585.543
Python with react,Hyderabad,Female,BCA,22,1993.284
ServiceNow,Nagaur,Female,B.B.A/ B.M.S,25,2150.773
Research Analyst,New Delhi,Male,B.Tech/B.E.,14,1443.765
ServiceNow,Lucknow,Male,B.Tech/B.E.,16,1264.413
ServiceNow,Noida,Male,B.Com,28,959.57
ServiceNow,Chennai,Male,B.Sc,8,2469.02
ServiceNow,New Delhi,Male,B.Com,25,2006.025
Python with react,Kaithal,Male,B.Com,28,1234.989
DATA ENGINEER,Bengaluru,Male,B.Tech/B.E.,5,2072.484
Research Analyst,New Delhi,Male,BCA,7,556.863
Research Analyst,Hyderabad,Male,B.Tech/B.E.,7,1915.347
Research Analyst,New Delhi,Male,B.Tech/B.E.,15,2176.244
Research Analyst,Mumbai Suburban,Female,B.Tech/B.E.,5,1435.705
data engineer,Hyderabad,Female,B.Com,23,666.703
Research Analyst,New Delhi,Male,B.Tech/B.E.,23,1566.081
Data Engineer,Kolkata,Female,B.Tech/B.E.,20,1194.6
Research Analyst,Bengaluru,Male,B.Com,5,913.829
Research Analyst,Noida,Male,B.Com,13,1482.592
Research Analyst,Noida,Female,B.Tech/B.E.,17,1208.087
Research Analyst,Coimbatore,Female,BCA,5,502.818
Research Analyst,Mumbai,Female,B.Tech/B.E.,20,1659.134
Research Analyst,Gurugram,Male,B.B.A/ B.M.S,11,1789.387
Research Analyst,Noida,Male,B.Com,21,1653.091
Research Analyst,Ghaziabad,Male,B.Sc,27,977.716
Research Analyst,Bhatkal,Male,B.Tech/B.E.,14,2041.229
Research Analyst,Noida,Female,BCA,10,574.909
Research Analyst,Noida,Female,B.Tech/B.E.,16,2195.901
Research Analyst,Pune,Male,B.B.A/ B.M.S,23,1510.825
Research Analyst,Prayagraj,Male,B.Tech/B.E.,19,543.873
Research Analyst,Bengaluru,Female,B.Tech/B.E.,11,2494.075
Research Analyst,Gurugram,Male,B.Sc,27,594.557
Research Analyst,New Delhi,Male,BCA,27,2296.583
Research Analyst,Gurugram,Male,B.A,8,1910.932
Research Analyst,Hyderabad,Male,B.Tech/B.E.,28,1913.048
Research Analyst,Pune,Male,B.Sc,13,625.915
Research Analyst,New Delhi,Male,B.Tech/B.E.,25,1446.554
Research Analyst,Noida,Male,B.Tech/B.E.,22,1756.028
Research Analyst,Not Mentioned,Male,BCA,10,1070.913
Research Analyst,Kochi,Female,B.Sc,23,1412.084
Research Analyst,Chandigarh,Male,B.Tech/B.E.,11,950.063
Research Analyst,Chennai,Female,BCA,28,2470.434
Research Analyst,Gurugram,Female,B.Tech/B.E.,17,1889.605
Research Analyst,Amritsar,Male,B.Com,12,1762.471
Python with react,Jalgaon,Female,B.Tech/B.E.,11,826.31
Data Engineer,Kolhapur,Male,B.Tech/B.E.,27,1445.801
Python with react,Bilaspur,Female,B.Com,19,1309.714
Data Engineer,Noida,Female,B.Sc,27,1074.71
Data Engineer,Gurugram,Male,B.Tech/B.E.,20,2126.817
Data Engineer,New Delhi,Male,Diploma,26,1568.368
Research Analyst,New Delhi,Male,BCA,17,838.035
Python with react,Mumbai,Male,B.Tech/B.E.,19,716.809
Research Analyst,Gurugram,Male,BCA,18,1634.045
Research Analyst,Pune,Male,BCA,24,1560.976
Research Analyst,Hyderabad,Female,B.Tech/B.E.,7,843.19
Research Analyst,New Delhi,Female,B.Sc,24,1693.717
Research Analyst,Gurugram,Male,B.Sc,23,1968.35
REsearch Analyst,Pune,Male,Diploma,24,536.49
Research Analyst,Gurugram,Male,B.Tech/B.E.,25,2410.893
Research analst,Bengaluru,Male,B.B.A/ B.M.S,22,928.505
Research Analyst,Hyderabad,Female,B.Sc,5,1350.204
Research analst,Bengaluru,Male,B.Tech/B.E.,21,546.022
Research Analyst,New Delhi,Male,B.A,18,2463.678
Research Analyst,Gurugram,Female,B.Com,27,1834.254
Research Analyst,Pune,Male,B.Tech/B.E.,15,894.851
Research analst,Mumbai,Male,B.Tech/B.E.,6,1695.696
Research analst,Hyderabad,Female,B.Sc,24,2291.679
Research analst,Ramnagar,Male,B.A,24,1682.632
Research analst,New Delhi,Female,B.Sc,11,1496.114
ServiceNow,Gurugram,Male,BCA,22,1399.246
Research analst,Noida,Female,B.Tech/B.E.,10,1245.052
Research analst,Bilaspur,Male,B.Tech/B.E.,14,1164.579
Research analst,New Delhi,Female,B.Tech/B.E.,6,1673.738
ServiceNow,Pune,Male,B.Sc,22,609.954
Data Engineer,New Delhi,Male,B.Tech/B.E.,22,1719.329
Python Developer,Noida,Female,B.Com,11,2301.507
Python Developer,Pune,Female,BCA,18,891.14
Research Analyst,Hyderabad,Female,B.Sc,23,2431.734
Data Engineer,Mumbai,Female,B.Sc,23,1772.217
ServiceNow,Kolkata,Female,B.Tech/B.E.,9,1953.282
ServiceNow,Navi Mumbai,Male,B.Tech/B.E.,7,1465.335
ServiceNow,New Delhi,Male,B.Com,22,1552.506
ServiceNow,Guwahati,Female,B.Tech/B.E.,25,574.005
Research Analyst,Bengaluru,Male,BCA,26,1411.064
Research Analyst,Bengaluru,Male,B.Tech/B.E.,27,742.755
Python Developer,Chennai,Female,B.A,20,611.12
Research Analyst,Bengaluru,Male,Diploma,22,2441.565
ServiceNow,Gurugram,Male,B.Tech/B.E.,26,1334.95
Research Analyst,New Delhi,Female,B.Com,11,1708.3
Research Analyst,Kolkata,Male,B.Com,15,1843.504
Research Analyst,Pune,Male,B.A,25,593.001
Research Analyst,New Delhi,Female,B.Com,18,692.435
BUISINESS Analyst,New Delhi,Male,B.A,9,865.343
Research Analyst,New Delhi,Female,B.Tech/B.E.,27,2317.252
BUISINESS Analyst,Nagpur,Female,B.Com,17,1567.442
citicorp,Noida,Female,B.Tech/B.E.,20,1644.576
Research Analyst,Mumbai,Male,B.Tech/B.E.,9,2091.296
Research Analyst,New Delhi,Male,B.Sc,6,2292.086
BUISINESS Analyst,Tiruchirapalli,Male,B.Tech/B.E.,25,514.941
BUISINESS Analyst,Mumbai,Female,Diploma,21,1652.966
BUISINESS Analyst,New Delhi,Male,BCA,13,2018.021
Salesforce FSL,Pune,Male,B.Tech/B.E.,28,2357.337
buusiness analyst,Bengaluru,Male,B.Tech/B.E.,25,2326.934
Research Analyst,Pune,Male,B.Tech/B.E.,21,1994.313
BUISINESS Analyst,Pune,Male,B.Com,24,1363.412
Research Analyst,Noida,Male,B.A,5,1472.732
Scripting,Bengaluru,Male,B.Com,10,883.014
Scripting,Noida,Male,B.Com,22,784.245
Research Analyst,Dindigul,Female,B.B.A/ B.M.S,21,1220.55
Data Engineer,Noida,Female,B.A,19,2316.015
Scripting,Mumbai,Male,BCA,26,1795.327
Research Analyst,Bengaluru,Male,B.A,25,1848.252
Scripting,Siliguri,Male,B.Tech/B.E.,26,2229.286
Scripting,Kolkata,Male,B.Tech/B.E.,20,862.911
BUISINESS Analyst,Hyderabad,Male,B.A,21,2440.216
Research Analyst,Bengaluru,Female,B.B.A/ B.M.S,9,1689.874
Scripting,Mumbai,Male,Diploma,19,1003.792
HR DATA,New Delhi,Female,B.Tech/B.E.,21,1620.198
Scripting,New Delhi,Female,B.Tech/B.E.,17,1011.715
Resarch Analyst,New Delhi,Female,B.Tech/B.E.,9,2304.803
BUISINESS Analyst,Noida,Male,B.Tech/B.E.,28,828.386
Scripting,Hyderabad,Male,B.A,19,1262.297
Resarch Analyst,Gurugram,Male,B.Tech/B.E.,9,1471.597
Resarch Analyst,Bengaluru,Female,B.Tech/B.E.,26,897.481
Resarch Analyst,Pune,Male,B.Com,11,934.756
Data Engineer,Mumbai,Male,B.Sc,9,1531.628
Resarch Analyst,Noida,Male,Diploma,22,2040.72
HR Business Analyst,New Delhi,Male,B.Com,5,875.336
Salesforce FSL,Navi Mumbai and pune - Maharashtra,Female,B.Sc,8,1175.148
AML Triage Analyst,Bengaluru,Female,Diploma,21,2303.008
Data Engineer,Lucknow,Female,B.Tech/B.E.,23,1921.568
ServiceNow,Ahmedabad,Male,B.Tech/B.E.,11,915.386
ServiceNow,Noida,Male,Diploma,10,796.292
ServiceNow,Bengaluru,Male,B.Tech/B.E.,12,2449.525
Resarch Analyst,New Delhi,Female,B.A,20,640.484
Business Analyst - Asset Management,Chennai,Female,B.Sc,23,1694.104
Python Backend Developer,Jamshedpur,Male,B.Tech/B.E.,22,928.403
Python Backend Developer,Pune,Male,B.Tech/B.E.,13,576.665
Research Analyst,"New Delhi, Delhi, NOIDA, Pune - Delhi",Male,Diploma,14,1452.531
Research Analyst,New Delhi,Male,B.Tech/B.E.,11,1546.193
IICS,Bengaluru,Male,B.Tech/B.E.,15,1994.122
python developer,Bengaluru,Male,B.A,10,2402.591
Python Backend Developer,Chennai,Male,BCA,18,1664.44
Python Backend Developer,Pune,Male,B.Com,27,718.748
"python with ML, NLP",Bengaluru,Female,B.B.A/ B.M.S,28,1053.022
Python Backend Developer,Chennai,Male,B.Tech/B.E.,10,2151.794
Python Backend Developer,Noida,Male,B.Com,8,874.554
Python Backend Developer,Mumbai,Female,B.Tech/B.E.,19,630.403
Python Backend Developer,New Delhi,Male,B.A,16,1131.611
Python Backend Developer,Visakhapatnam,Male,B.Sc,8,2020.834
Python Backend Developer,Mohali,Female,B.Tech/B.E.,23,1767.967
Security ISAM,Bengaluru,Female,B.Sc,16,1422.75
Python Backend Developer,Kolkata,Male,B.Com,17,1733.37
IICS,Bengaluru,Male,B.Sc,20,1402.332
Python Backend Developer,Bengaluru,Male,B.Tech/B.E.,26,1812.743
Python Backend Developer,Gurugram,Female,B.Tech/B.E.,6,1006.293
Python Backend Developer,Lucknow,Male,B.Tech/B.E.,5,1334.072
Python Backend Developer,Gurugram,Male,B.Sc,26,2423.772
Python Backend Developer,Nagpur,Male,B.Tech/B.E.,27,1998.006
python Developer Data scienctist,Nagpur,Male,B.A,17,1049.658
Python Backend Developer,Pune,Male,B.Tech/B.E.,22,991.205
Python Backend Developer,New Delhi,Male,BCA,15,2302.028
IICS Developer,Gudivada,Female,B.A,6,1098.993
Python+Data Science,New Delhi,Male,B.Tech/B.E.,22,1921.71
Python+Data Science,Siliguri,Male,BCA,20,2231.316
Python Backend Developer,nioda - Uttar Pradesh,Male,B.Tech/B.E.,19,1238.326
Python Backend Developer,Noida,Male,B.A,7,2402.599
Python ML +NLP,Mumbai,Male,B.Tech/B.E.,12,1219.807
Python ML +NLP,New Delhi,Female,B.Tech/B.E.,12,1926.705
Python with ML,Hyderabad,Male,B.A,27,1746.815
Data Science,Pune,Male,B.Com,23,1206.291
Python Backend Developer,New Delhi,Male,B.Com,18,524.799
Python+Data Science+Computer Vision,Noida,Male,Diploma,12,608.713
HR DATA,Noida,Male,B.Com,14,1555.975
Python with ML,Gurugram,Male,BCA,9,843.633
Python Backend Developer,New Delhi,Male,B.A,13,507.134
Data Science,New Delhi,Male,BCA,18,1758.437
Data Science,Dehradun,Male,B.Sc,9,2083.021
Data Science,Bengaluru,Female,B.Sc,14,906.622
Python Backend Developer,Noida,Male,BCA,9,1611.026
Data Science,New Delhi,Female,Diploma,17,1399.823
IICS Developer,Kolkata,Female,B.Sc,5,2141.294
Python ML +NLP,Erode,Male,B.Tech/B.E.,27,2418.421
Python Backend Developer,New Delhi,Male,BCA,21,2222.533
Python with ML,New Delhi,Male,B.Com,18,2002.464
Data Science,Kolkata,Male,BCA,27,1212.433
Python Backend Developer,New Delhi,Female,B.B.A/ B.M.S,9,1262.037
Security ISAM,New Delhi,Female,B.Sc,7,1878.74
Data Science,Noida,Male,B.Tech/B.E.,19,1479.554
Data Science,New Delhi,Female,B.Sc,11,815.471
IICS Developer,New Delhi,Female,B.Sc,23,1396.774
Data Science,Mumbai,Male,B.A,22,1244.264
Python Backend Developer,New Delhi,Male,B.Tech/B.E.,18,2384.663
Data Science,Chennai,Male,B.Tech/B.E.,14,698.816
Python Backend Developer,New Delhi,Male,B.Sc,27,1031.525
HR Data Analsyt,Hyderabad,Male,Diploma,13,2202.803
Python Backend Developer,Hyderabad,Female,B.Tech/B.E.,18,652.751
Python Backend Developer,New Delhi,Female,B.Tech/B.E.,22,932.65
Python with ML,Pune,Female,BCA,14,1623.996
Security ISAM,Bengaluru,Male,B.Tech/B.E.,6,1825.881
Data Science,New Delhi,Female,B.Tech/B.E.,26,814.472
Python+Data Science+Computer Vision,Bengaluru,Female,BCA,27,1621.276
security engineer ISAm,Kolkata,Male,B.A,10,1356.478
Security ISAM,New Delhi,Female,B.Com,26,1899.984
python backend developer,Meerut,Male,B.Tech/B.E.,6,1018.073
HR Data Analsyt,New Delhi,Male,BCA,24,653.231
HR Data Analsyt,Kolkata,Female,BCA,7,1557.182
Python+ DS,New Delhi,Male,B.Tech/B.E.,10,1292.517
Python+ DS,Pune,Female,Diploma,14,1075.429
Python+Data Science+Computer Vision,Noida,Male,B.Com,17,1148.293
IICS Developer,New Delhi,Male,Diploma,25,1136.398
HR Data Analsyt,Bhubaneswar,Male,BCA,8,1174.785
python backend,New Delhi,Male,B.Tech/B.E.,7,512.066
Python+DS,New Delhi,Male,BCA,16,2452.68
Python+DS,Bhubaneswar,Female,B.Sc,18,1454.357
Python+DS,New Delhi,Male,B.Tech/B.E.,18,1400.061
Python+DS,New Delhi,Female,B.Sc,7,1358.646
Python+Data Science+Computer Vision,New Delhi,Female,B.Com,24,1307.296
Python Backend Developer,Noida,Male,B.Tech/B.E.,7,1255.46
Data Engineer,Hyderabad,Male,B.Tech/B.E.,25,1192.575
Python Backend Developer,Chennai,Female,B.A,9,740.49
"python with ML, NLP",Rudrpur - Uttarakhand,Male,B.Sc,19,1937.992
IICS,Kolkata,Male,BCA,17,1432.973
Python Backend Developer,Hyderabad,Female,B.Com,20,2090.947
"python with ML, NLP",Bengaluru,Female,B.Tech/B.E.,11,2092.897
"python with ML, NLP",Bengaluru,Female,B.Com,13,1667.798
Security ISAM,Hyderabad,Female,Diploma,11,1675.288
IICS developer,Bengaluru,Male,BCA,5,1921.871
python backend,Noida,Male,B.Tech/B.E.,7,695.051
DATA ANALYST,Noida,Male,B.A,26,528.293
Python Backend Developer,Hyderabad,Female,B.A,19,1712.113
Data Science,Mumbai,Male,B.A,12,987.3
Data Science,New Delhi,Female,B.Tech/B.E.,26,964.497
Security ISAM,Mumbai,Male,BCA,14,743.796
Python Backend Developer,Gurugram,Male,B.Sc,16,1190.728
Python Backend Developer,Pune,Male,B.Tech/B.E.,15,1416.632
Security ISAM,Mumbai,Male,BCA,13,2284.596
Python Backend Developer,New Delhi,Male,B.Com,19,1554.209
Python Backend Developer,Hyderabad,Male,B.Com,23,615.883
Python Backend Developer,New Delhi,Female,B.Tech/B.E.,22,1005.454
Python Backend Developer,Gurugram,Female,B.Tech/B.E.,19,1071.952
Python Backend Developer,Kanpur,Female,B.Com,23,1769.261
Python Backend Developer,Noida,Female,B.B.A/ B.M.S,24,878.504
Python Backend Developer,New Delhi,Male,BCA,24,732.792
Python Backend Developer,Dehradun,Female,B.Tech/B.E.,13,951.387
ServiceNow,New Delhi,Male,BCA,25,1743.972
Data Engineer - Snowflake & Azure,New Delhi,Female,B.B.A/ B.M.S,12,1699.331
Data Engineer - AWS,Pune,Male,B.Tech/B.E.,9,2081.35
IICS developer,Noida,Male,B.Tech/B.E.,22,792.479
Research Analyst,Bengaluru,Male,B.Com,10,1649.864
Python ML +NLP,New Delhi,Female,B.Sc,15,980.299
Research analyst,Pune,Male,B.Com,8,646.988
Research analyst,Hyderabad,Male,B.Com,22,570.191
Research Analyst,Pune,Female,B.Tech/B.E.,21,1427.799
Research analyst,New Delhi,Male,BCA,14,1142.407
Python+DS,New Delhi,Male,B.Tech/B.E.,12,1298.021
Python+DS,Kolkata,Male,B.Tech/B.E.,20,2412.741
Production Support Middleware,Pune,Male,B.Tech/B.E.,5,1437.362
Business and QA Analyst,Nagpur,Female,B.Com,24,1557.847
HR Data Analyst BA,Bengaluru,Male,B.Tech/B.E.,22,1688.102
Production Support Middleware,Lucknow,Male,B.Tech/B.E.,24,1237.523
Python+DS,Pune,Male,B.Com,19,2410.806
Python+DS,Faridabad,Male,B.Com,19,1207.701
Python+DS,New Delhi,Male,B.Tech/B.E.,20,1349.04
Research Analyst,Pune,Female,BCA,16,976.591
Python ML +NLP,New Delhi,Male,B.Tech/B.E.,12,1537.294
Python ML +NLP,Bengaluru,Male,B.B.A/ B.M.S,7,1908.258
Research analyst,Dehradun,Female,B.Com,21,935.91
Python ML +NLP,New Delhi,Male,B.Sc,19,640.177
Python ML +NLP,New Delhi,Female,B.Tech/B.E.,23,1936.723
Rpa developer,Chennai,Male,BCA,28,1796.191
Research analyst,Bengaluru,Male,B.Tech/B.E.,9,918.942
Production Support Middleware,Jalgaon,Female,B.B.A/ B.M.S,23,1262.46
Python+DS,Bengaluru,Male,B.Tech/B.E.,17,627.456
Python+DS,Pune,Female,B.Tech/B.E.,12,507.365
Python Developer,Pune,Female,B.Sc,5,719.778
Research analyst,Mumbai,Female,BCA,21,573.898
Business Analysis,Ghaziabad,Male,B.A,9,1186.752
Research analyst,New Delhi,Female,B.Tech/B.E.,14,1413.986
ServiceNow,Bengaluru,Male,B.Sc,13,753.565
RPA developer,Pune,Male,B.Tech/B.E.,10,1513.459
HR Data Analyst BA,Chennai,Female,B.Tech/B.E.,23,1677.034
Research Analyst,Gurugram,Male,BCA,22,1183.043
ServiceNow,Hyderabad,Male,B.Sc,27,1187.008
Research Analyst,Pune,Male,B.Tech/B.E.,18,2234.532
Research Analyst,Pune,Male,BCA,12,1971.665
Research Analyst,Chennai,Male,B.Tech/B.E.,26,1450.26
Research Analyst,Chennai,Female,B.Com,28,2040.008
Research Analyst,Chennai,Female,B.Tech/B.E.,6,2367.496
Research Analyst,Bengaluru,Female,B.Tech/B.E.,26,1720.637
Research Analyst,Pune,Male,B.Com,22,1939.238
ServiceNow,Pune,Male,B.Sc,24,580.121
ServiceNow,Mumbai,Female,B.Sc,6,2222.196
Research Analyst,Pune,Male,B.Tech/B.E.,11,1809.458
ServiceNow,Mumbai,Female,Diploma,18,1267.602
Research Analyst,New Delhi,Female,BCA,7,1103.384
Project Manager,Noida,Female,B.Tech/B.E.,15,826.143
RPA developer,Ahemdabad - Gujarat,Male,BCA,5,2374.111
Production Support Middleware,Noida,Female,BCA,10,643.931
Research Analyst,Noida,Male,B.Tech/B.E.,21,1994.437
RPA developer,Patna,Male,B.Sc,18,787.425
ServiceNow,Bengaluru,Male,B.Sc,22,1369.411
RPA developer,Lucknow,Male,Diploma,17,1471.142
HR Data Analyst BA,Mumbai,Male,B.Tech/B.E.,19,2249.798
Middle ware Production Support,Noida,Female,B.B.A/ B.M.S,21,2165.401
RPA developer,Ghaziabad,Male,B.Sc,15,658.58
Servicenow Secops,Pune,Female,B.Tech/B.E.,18,954.253
Research Analyst,Navi Mumbai,Male,B.A,18,608.238
ServiceNow,Noida,Male,B.Com,7,1014.248
"Business
Analyst/Product Owner",Nagpur,Female,B.Tech/B.E.,27,1852.674
Middle ware Production Support,Hyderabad,Female,B.Sc,19,1125.406
Research Analyst,Noida,Male,B.A,21,1411.418
Research Analyst,Chennai,Female,B.Sc,13,643.197
HR Data Analyst BA,New Delhi,Male,BCA,16,747.041
Research Analyst,Visakhapatnam,Male,B.Tech/B.E.,26,1511.631
Middle ware Production Support,Bengaluru,Female,B.Tech/B.E.,24,1884.772
Research Analyst,Bengaluru,Female,B.Tech/B.E.,22,2164.363
Servicenow Secops,Hyderabad,Male,B.Sc,26,2228.01
Research Analyst,Noida,Male,B.Tech/B.E.,22,1375.789
Research Analyst,Gurugram,Female,B.Com,23,2370.7
Middle ware Production Support,"Fazilka , Punjab - Punjab",Female,BCA,9,1243.807
HR Data Analyst BA,Coimbatore,Female,B.Sc,19,2402.44
Research Analyst,Indore,Male,B.Sc,8,1372.754
RPA Developer,Hyderabad,Female,B.Tech/B.E.,13,645.164
HR Data Analyst BA,Noida,Female,B.Tech/B.E.,25,1036.145
Research Analyst,"Cuttack, Odisha - Odisha",Male,B.Com,25,915.142
BigQuery Developer,New Delhi,Female,B.Tech/B.E.,21,1123.916
Research Analyst,Hyderabad,Male,BCA,20,1001.765
Research Analyst,Kanpur,Female,B.Tech/B.E.,14,2100.44
Research Analyst,Navi Mumbai,Male,B.A,5,1787.235
BigQuery Developer,New Delhi,Male,Diploma,10,1807.326
Research Analyst,Pune,Male,B.Tech/B.E.,8,1107.002
Research Analyst,Chennai,Female,B.Com,11,1408.323
Research Analyst,Ayodhya - Uttar Pradesh,Female,B.Com,15,1882.716
Research Analyst,Hyderabad,Male,B.A,12,521.677
Research Analyst,Hubli,Female,B.Com,25,1750.496
Servicenow,Gurugram,Female,B.A,14,2318.777
Research Analyst,Mumbai,Female,B.Tech/B.E.,17,895.632
Murex Developer,Bengaluru,Male,B.Com,19,2028.639
research Analyst,Patna,Male,B.Tech/B.E.,21,1366.079
Servicenow,Pune,Male,B.Tech/B.E.,5,1210.812
Research Analyst,Pune,Male,B.Sc,9,775.394
Research Analyst,Hyderabad,Male,B.Tech/B.E.,13,1617.687
Research Analyst,Nagaur,Male,Diploma,8,2351.626
Research Analyst,New Delhi,Female,BCA,16,1185.403
Research Analyst,Lucknow,Female,B.Tech/B.E.,23,589.095
Research Analyst,Noida,Male,B.Tech/B.E.,9,2036.863
Research Analyst,Chennai,Female,B.Tech/B.E.,11,2353.177
Research Analyst,New Delhi,Male,B.Com,27,879.615
ELK Engineer,Kaithal,Male,B.A,23,2015.362
ELK Engineer,Bengaluru,Male,B.Com,13,1037.552
iOS,New Delhi,Male,B.Com,9,946.221
ELK Engineer,Hyderabad,Male,B.B.A/ B.M.S,14,568.616
Druid Apache,New Delhi,Female,B.A,12,845.642
BigQuery Developer,Mumbai Suburban,Male,BCA,12,779.65
BigQuery Developer,Hyderabad,Male,B.A,6,2417.671
BigQuery Developer,New Delhi,Male,B.Tech/B.E.,25,2223.301
BigQuery Developer,Kolkata,Female,B.Tech/B.E.,15,2403.721
BigQuery Developer,Bengaluru,Male,B.A,8,1475.625
BigQuery Developer,Noida,Male,B.B.A/ B.M.S,16,2465.043
apache druid,Noida,Female,Diploma,22,2439.843
iOS,Coimbatore,Male,B.Tech/B.E.,9,1957.085
SYBASE,Mumbai,Male,B.Tech/B.E.,10,1588.047
SYBASE,Gurugram,Male,B.Tech/B.E.,16,647.404
iOS,Noida,Female,B.Tech/B.E.,18,802.64
SYBASE,Ghaziabad,Male,B.A,6,1939.901
apache druid,Bhatkal,Male,B.Tech/B.E.,27,1626.821
SYBASE,Chennai,Male,B.Tech/B.E.,11,1977.62
Math,Noida,Male,B.Com,28,1720.33
iOS,Pune,Male,B.Sc,12,1272.234
Computer vision,Prayagraj,Female,Diploma,10,2356.593
Computer vision,Bengaluru,Female,B.Com,5,1947.59
Computer vision,Gurugram,Male,B.Sc,22,1181.394
Computer vision,New Delhi,Male,Diploma,19,2053.728
SYBASE,Hyderabad,Female,B.Tech/B.E.,26,2023.371
ELK Engineer,Pune,Female,Diploma,16,1991.353
iOS,New Delhi,Male,B.Tech/B.E.,20,826.543
ELK Engineer,Noida,Female,B.A,13,2355.456
Computer vision,Not Mentioned,Male,B.Sc,12,2315.733
Computer vision,Kochi,Female,B.Tech/B.E.,28,2095.194
iOS,Chandigarh,Female,B.Tech/B.E.,15,607.603
ELK Engineer,Chennai,Male,Diploma,13,1410.838
apache druid,Noida,Male,B.Tech/B.E.,26,795.546
iOS,Gurugram,Male,B.Tech/B.E.,24,2346.588
PAYTHON AI-ML,Amritsar,Male,B.A,28,711.779
ServiceNow Dev. (SAM),Jalgaon,Male,BCA,25,2219.855
ServiceNow Dev. (SAM),Kolhapur,Female,B.Com,22,1845.729
Maths Teacher,Bilaspur,Male,B.B.A/ B.M.S,26,1341.521
apache druid,Noida,Male,B.Tech/B.E.,16,1145.212
ELK Engineer,Thiruvananthapuram,Male,B.Com,22,1350.101
iOS,Gurugram,Male,B.Tech/B.E.,17,590.891
iOS,New Delhi,Male,B.A,18,1571.6
Maths Teacher,New Delhi,Male,B.Sc,13,906.643
iOS,Mumbai,Female,B.Tech/B.E.,19,1426.639
computer vision,Gurugram,Male,B.Sc,8,2476.352
murex developer,Pune,Female,B.Com,8,2074.569
ServiceNow,Hyderabad,Female,B.Sc,7,2442.746
Math,Gurugram,Male,B.Tech/B.E.,5,1124.956
iOS,Pune,Female,B.Tech/B.E.,12,538.726
Math,Gurugram,Female,B.Tech/B.E.,19,1857.174
Apache Druid,Bengaluru,Male,B.Sc,7,685.458
Apache Druid,Hyderabad,Male,B.Tech/B.E.,25,2164.715
Apache Druid,Gurugram,Male,B.Tech/B.E.,8,1451.934
Apache Druid,Mumbai,Female,BCA,12,1937.876
